Index,ClassId,PredictClass,Correction,ClassName,Prob,2ndClass,2ndClassName,2ndProb,3rdClass,3rdClassName,3rdProb
00000.jpg,16,16,1,no_way_trucks,0.999961,7,100_speed,2.01E-05,5,80_speed,1.43E-05
00001.jpg,1,1,1,30_speed,0.997889,5,80_speed,0.00210112,4,70_speed,4.56E-06
00002.jpg,38,38,1,turn_right_down,1,34,turn_left,2.11E-14,36,turn_straight_right,1.78E-14
00003.jpg,33,33,1,turn_right,0.999993,40,turn_circle,5.26E-06,39,turn_left_down,1.02E-06
00004.jpg,11,11,1,right_of_way_crossing,1,30,attention_snowflake,3.09E-07,19,attention_left_turn,1.48E-09
00005.jpg,38,38,1,turn_right_down,1,34,turn_left,1.20E-14,36,turn_straight_right,1.97E-16
00006.jpg,18,18,1,attention_general,0.999554,11,right_of_way_crossing,0.000256644,30,attention_snowflake,0.000102768
00007.jpg,12,12,1,right_of_way_general,0.999998,8,120_speed,1.36E-06,41,lifted_no_overtaking_general,2.44E-07
00008.jpg,25,25,1,attention_construction,1,22,attention_bumpers,1.43E-11,33,turn_right,5.54E-12
00009.jpg,35,35,1,turn_straight,1,36,turn_straight_right,1.07E-10,34,turn_left,5.19E-12
00010.jpg,12,12,1,right_of_way_general,0.99909,11,right_of_way_crossing,0.000484591,41,lifted_no_overtaking_general,9.72E-05
00011.jpg,7,7,1,100_speed,0.771892,8,120_speed,0.225562,4,70_speed,0.00220511
00012.jpg,23,23,1,attention_slippery,0.991995,19,attention_left_turn,0.00635427,31,attention_deer,0.00131479
00013.jpg,7,7,1,100_speed,0.714048,8,120_speed,0.219128,2,50_speed,0.0260965
00014.jpg,4,4,1,70_speed,0.957398,1,30_speed,0.0421862,5,80_speed,0.000290222
00015.jpg,9,9,1,no_overtaking_general,0.955455,10,no_overtaking_trucks,0.044366,2,50_speed,6.06E-05
00016.jpg,21,21,1,attention_curvy,0.802993,31,attention_deer,0.115,23,attention_slippery,0.0697874
00017.jpg,20,20,1,attention_right_turn,0.998523,28,attention_children,0.000586332,23,attention_slippery,0.000233001
00018.jpg,27,27,1,attention_pedestrian,0.765768,11,right_of_way_crossing,0.126377,30,attention_snowflake,0.044503
00019.jpg,38,38,1,turn_right_down,1,34,turn_left,5.06E-12,20,attention_right_turn,1.57E-14
00020.jpg,4,4,1,70_speed,0.985661,7,100_speed,0.00762131,1,30_speed,0.0049842
00021.jpg,33,33,1,turn_right,0.999982,39,turn_left_down,1.03E-05,40,turn_circle,5.60E-06
00022.jpg,9,9,1,no_overtaking_general,0.999967,10,no_overtaking_trucks,3.30E-05,16,no_way_trucks,5.55E-08
00023.jpg,3,2,0,50_speed,0.506188,5,80_speed,0.42881,3,60_speed,0.0565574
00024.jpg,1,1,1,30_speed,0.999787,2,50_speed,0.000171815,4,70_speed,4.01E-05
00025.jpg,11,11,1,right_of_way_crossing,0.999635,30,attention_snowflake,0.000218413,25,attention_construction,0.00011559
00026.jpg,13,13,1,give_way,0.999983,35,turn_straight,1.64E-05,15,no_way_general,4.84E-07
00027.jpg,10,10,1,no_overtaking_trucks,0.999996,5,80_speed,2.15E-06,9,no_overtaking_general,1.68E-06
00028.jpg,9,10,0,no_overtaking_trucks,0.940327,9,no_overtaking_general,0.0575145,5,80_speed,0.00113224
00029.jpg,11,11,1,right_of_way_crossing,0.999987,30,attention_snowflake,8.48E-06,28,attention_children,4.17E-06
00030.jpg,5,5,1,80_speed,0.948489,2,50_speed,0.0441458,3,60_speed,0.00567929
00031.jpg,17,17,1,no_way_one_way,1,14,stop,2.71E-12,4,70_speed,4.37E-16
00032.jpg,34,34,1,turn_left,1,32,lifted_general,5.79E-09,38,turn_right_down,3.21E-09
00033.jpg,23,23,1,attention_slippery,0.594247,21,attention_curvy,0.194146,19,attention_left_turn,0.124337
00034.jpg,2,2,1,50_speed,0.999997,1,30_speed,3.05E-06,5,80_speed,4.32E-07
00035.jpg,17,17,1,no_way_one_way,0.998231,4,70_speed,0.000828195,14,stop,0.000803426
00036.jpg,3,3,1,60_speed,0.99392,2,50_speed,0.00395554,5,80_speed,0.0021009
00037.jpg,12,12,1,right_of_way_general,0.999976,40,turn_circle,1.47E-05,29,attention_bikes,3.07E-06
00038.jpg,16,16,1,no_way_trucks,0.999611,10,no_overtaking_trucks,0.000280432,7,100_speed,7.33E-05
00039.jpg,8,8,1,120_speed,0.821102,4,70_speed,0.0703821,7,100_speed,0.0529103
00040.jpg,7,7,1,100_speed,0.998748,8,120_speed,0.000769643,1,30_speed,0.000220207
00041.jpg,30,23,0,attention_slippery,0.574087,30,attention_snowflake,0.402863,31,attention_deer,0.0191732
00042.jpg,18,18,1,attention_general,0.978035,27,attention_pedestrian,0.0173458,26,attention_traffic_light,0.00365442
00043.jpg,12,12,1,right_of_way_general,0.999993,7,100_speed,6.42E-06,1,30_speed,1.19E-07
00044.jpg,24,24,1,attention_bottleneck,0.294858,28,attention_children,0.273751,13,give_way,0.135424
00045.jpg,25,25,1,attention_construction,0.999949,22,attention_bumpers,4.78E-05,30,attention_snowflake,1.36E-06
00046.jpg,3,5,0,80_speed,0.766187,3,60_speed,0.232742,2,50_speed,0.00106862
00047.jpg,10,10,1,no_overtaking_trucks,1,5,80_speed,1.04E-08,9,no_overtaking_general,1.60E-09
00048.jpg,18,31,0,attention_deer,0.339319,7,100_speed,0.174999,40,turn_circle,0.156049
00049.jpg,8,7,0,100_speed,0.576601,5,80_speed,0.40196,1,30_speed,0.00879534
00050.jpg,25,4,0,70_speed,0.305842,25,attention_construction,0.149848,38,turn_right_down,0.10344
00051.jpg,13,13,1,give_way,0.999986,9,no_overtaking_general,1.22E-05,28,attention_children,8.56E-07
00052.jpg,15,15,1,no_way_general,0.870912,5,80_speed,0.0833722,8,120_speed,0.0241659
00053.jpg,9,9,1,no_overtaking_general,0.999984,10,no_overtaking_trucks,1.59E-05,23,attention_slippery,4.12E-10
00054.jpg,13,13,1,give_way,0.999999,9,no_overtaking_general,1.10E-06,35,turn_straight,7.15E-08
00055.jpg,35,35,1,turn_straight,0.999915,3,60_speed,5.23E-05,33,turn_right,1.87E-05
00056.jpg,5,5,1,80_speed,0.999664,7,100_speed,0.000137959,2,50_speed,0.000123545
00057.jpg,26,26,1,attention_traffic_light,0.999179,18,attention_general,0.00079735,24,attention_bottleneck,1.53E-05
00058.jpg,9,9,1,no_overtaking_general,1,10,no_overtaking_trucks,2.26E-07,16,no_way_trucks,1.93E-07
00059.jpg,16,16,1,no_way_trucks,0.999999,10,no_overtaking_trucks,3.76E-07,5,80_speed,2.12E-07
00060.jpg,38,38,1,turn_right_down,0.99922,34,turn_left,0.000770009,9,no_overtaking_general,2.64E-06
00061.jpg,10,10,1,no_overtaking_trucks,0.999996,9,no_overtaking_general,2.31E-06,4,70_speed,1.20E-06
00062.jpg,4,4,1,70_speed,0.999985,1,30_speed,1.53E-05,5,80_speed,1.55E-07
00063.jpg,9,9,1,no_overtaking_general,0.999866,10,no_overtaking_trucks,0.000133117,5,80_speed,5.03E-07
00064.jpg,15,15,1,no_way_general,0.999996,4,70_speed,2.74E-06,5,80_speed,5.99E-07
00065.jpg,9,9,1,no_overtaking_general,0.999991,10,no_overtaking_trucks,9.15E-06,16,no_way_trucks,9.40E-08
00066.jpg,26,26,1,attention_traffic_light,0.992925,28,attention_children,0.00399886,18,attention_general,0.00292794
00067.jpg,2,2,1,50_speed,0.998338,1,30_speed,0.000710964,5,80_speed,0.000524409
00068.jpg,5,5,1,80_speed,0.670684,2,50_speed,0.145958,3,60_speed,0.0938261
00069.jpg,28,30,0,attention_snowflake,0.703221,28,attention_children,0.149568,11,right_of_way_crossing,0.0896546
00070.jpg,11,11,1,right_of_way_crossing,0.999025,30,attention_snowflake,0.000741847,28,attention_children,0.000109461
00071.jpg,25,25,1,attention_construction,1,22,attention_bumpers,2.45E-09,29,attention_bikes,1.75E-11
00072.jpg,30,30,1,attention_snowflake,0.574847,2,50_speed,0.131603,11,right_of_way_crossing,0.117592
00073.jpg,34,34,1,turn_left,0.617156,30,attention_snowflake,0.220198,35,turn_straight,0.103864
00074.jpg,5,5,1,80_speed,0.99307,2,50_speed,0.00566691,3,60_speed,0.00123273
00075.jpg,12,12,1,right_of_way_general,0.999972,40,turn_circle,1.45E-05,34,turn_left,3.83E-06
00076.jpg,1,1,1,30_speed,0.982422,5,80_speed,0.00997243,2,50_speed,0.00730279
00077.jpg,10,10,1,no_overtaking_trucks,0.999402,7,100_speed,0.000346264,5,80_speed,8.65E-05
00078.jpg,25,25,1,attention_construction,0.999951,22,attention_bumpers,2.21E-05,30,attention_snowflake,1.42E-05
00079.jpg,25,25,1,attention_construction,0.800899,30,attention_snowflake,0.189081,24,attention_bottleneck,0.00475304
00080.jpg,21,31,0,attention_deer,0.492852,23,attention_slippery,0.237428,21,attention_curvy,0.214927
00081.jpg,33,33,1,turn_right,0.99983,39,turn_left_down,0.000143765,40,turn_circle,1.46E-05
00082.jpg,25,25,1,attention_construction,1,22,attention_bumpers,1.29E-08,21,attention_curvy,8.85E-12
00083.jpg,7,8,0,120_speed,0.813825,7,100_speed,0.140333,5,80_speed,0.0252135
00084.jpg,10,10,1,no_overtaking_trucks,1,9,no_overtaking_general,2.74E-10,7,100_speed,1.17E-12
00085.jpg,35,35,1,turn_straight,0.947756,34,turn_left,0.0501438,9,no_overtaking_general,0.00080565
00086.jpg,3,3,1,60_speed,0.999573,5,80_speed,0.000407385,2,50_speed,1.97E-05
00087.jpg,7,7,1,100_speed,0.354578,5,80_speed,0.327438,8,120_speed,0.115291
00088.jpg,22,22,1,attention_bumpers,1,24,attention_bottleneck,1.57E-09,14,stop,9.58E-10
00089.jpg,13,13,1,give_way,1,35,turn_straight,1.27E-09,3,60_speed,5.73E-10
00090.jpg,3,5,0,80_speed,0.845971,3,60_speed,0.149813,2,50_speed,0.00390569
00091.jpg,1,1,1,30_speed,0.999971,5,80_speed,2.49E-05,2,50_speed,3.44E-06
00092.jpg,2,2,1,50_speed,0.998035,1,30_speed,0.00191426,5,80_speed,4.96E-05
00093.jpg,14,14,1,stop,0.999306,15,no_way_general,0.000570703,1,30_speed,6.86E-05
00094.jpg,12,12,1,right_of_way_general,1,7,100_speed,6.52E-13,32,lifted_general,1.34E-13
00095.jpg,32,32,1,lifted_general,0.787241,12,right_of_way_general,0.0976766,1,30_speed,0.0297213
00096.jpg,3,3,1,60_speed,0.984213,5,80_speed,0.0147252,2,50_speed,0.00105605
00097.jpg,38,38,1,turn_right_down,1,34,turn_left,1.87E-10,36,turn_straight_right,1.01E-11
00098.jpg,9,9,1,no_overtaking_general,0.999995,10,no_overtaking_trucks,5.04E-06,3,60_speed,1.84E-08
00099.jpg,33,33,1,turn_right,0.999997,39,turn_left_down,1.97E-06,40,turn_circle,6.17E-07
00100.jpg,1,1,1,30_speed,0.999819,4,70_speed,0.000148113,2,50_speed,1.63E-05
00101.jpg,10,10,1,no_overtaking_trucks,1,9,no_overtaking_general,1.35E-08,5,80_speed,1.07E-08
00102.jpg,5,2,0,50_speed,0.690107,3,60_speed,0.0992144,5,80_speed,0.0841863
00103.jpg,11,11,1,right_of_way_crossing,0.997076,27,attention_pedestrian,0.00143227,21,attention_curvy,0.00109654
00104.jpg,33,33,1,turn_right,0.999968,35,turn_straight,3.19E-05,39,turn_left_down,5.16E-07
00105.jpg,4,4,1,70_speed,0.999999,1,30_speed,8.95E-07,5,80_speed,5.60E-09
00106.jpg,35,35,1,turn_straight,0.999963,36,turn_straight_right,1.89E-05,9,no_overtaking_general,1.54E-05
00107.jpg,25,25,1,attention_construction,0.999938,29,attention_bikes,3.51E-05,31,attention_deer,1.28E-05
00108.jpg,33,33,1,turn_right,1,40,turn_circle,9.78E-10,39,turn_left_down,4.98E-10
00109.jpg,4,4,1,70_speed,0.721916,1,30_speed,0.11229,15,no_way_general,0.0716375
00110.jpg,1,1,1,30_speed,0.96156,2,50_speed,0.0371015,0,20_speed,0.00113257
00111.jpg,14,14,1,stop,1,15,no_way_general,2.02E-08,1,30_speed,1.07E-09
00112.jpg,16,16,1,no_way_trucks,0.99991,9,no_overtaking_general,8.03E-05,0,20_speed,5.37E-06
00113.jpg,10,10,1,no_overtaking_trucks,0.961335,5,80_speed,0.0300029,3,60_speed,0.0064569
00114.jpg,30,21,0,attention_curvy,0.793126,23,attention_slippery,0.0663066,24,attention_bottleneck,0.0318694
00115.jpg,3,3,1,60_speed,0.998314,5,80_speed,0.00155047,2,50_speed,0.000135302
00116.jpg,27,27,1,attention_pedestrian,0.690011,28,attention_children,0.138442,11,right_of_way_crossing,0.0803801
00117.jpg,29,3,0,60_speed,0.8189,23,attention_slippery,0.106865,22,attention_bumpers,0.0409971
00118.jpg,1,1,1,30_speed,0.999882,4,70_speed,4.80E-05,0,20_speed,2.49E-05
00119.jpg,17,17,1,no_way_one_way,0.996664,2,50_speed,0.00186065,1,30_speed,0.000309675
00120.jpg,13,13,1,give_way,1,35,turn_straight,2.86E-09,9,no_overtaking_general,2.70E-10
00121.jpg,7,7,1,100_speed,0.999681,8,120_speed,0.000319338,5,80_speed,7.26E-08
00122.jpg,1,1,1,30_speed,0.869341,4,70_speed,0.0518962,8,120_speed,0.0358423
00123.jpg,8,8,1,120_speed,0.533308,7,100_speed,0.304029,4,70_speed,0.0599067
00124.jpg,2,2,1,50_speed,0.998619,1,30_speed,0.00137902,5,80_speed,2.21E-06
00125.jpg,10,10,1,no_overtaking_trucks,0.996754,16,no_way_trucks,0.0013041,9,no_overtaking_general,0.00123068
00126.jpg,10,10,1,no_overtaking_trucks,0.999759,5,80_speed,7.02E-05,7,100_speed,6.64E-05
00127.jpg,30,23,0,attention_slippery,0.297293,26,attention_traffic_light,0.209543,29,attention_bikes,0.099705
