Index,ClassId,PredictClass,Prob,2ndClass,2ndProb,Correction
00000.jpg,16,16,0.999961,7,0.0000201,1
00001.jpg,1,1,0.997889,5,0.00210112,1
00002.jpg,38,38,1,34,2.11E-14,1
00003.jpg,33,33,0.999993,40,0.00000526,1
00004.jpg,11,11,1,30,0.000000309,1
00005.jpg,38,38,1,34,1.20E-14,1
00006.jpg,18,18,0.999554,11,0.000256644,1
00007.jpg,12,12,0.999998,8,0.00000136,1
00008.jpg,25,25,1,22,1.43E-11,1
00009.jpg,35,35,1,36,1.07E-10,1
00010.jpg,12,12,0.99909,11,0.000484591,1
00011.jpg,7,7,0.771892,8,0.225562,1
00012.jpg,23,23,0.991995,19,0.00635427,1
00013.jpg,7,7,0.714048,8,0.219128,1
00014.jpg,4,4,0.957398,1,0.0421862,1
00015.jpg,9,9,0.955455,10,0.044366,1
00016.jpg,21,21,0.802993,31,0.115,1
00017.jpg,20,20,0.998523,28,0.000586332,1
00018.jpg,27,27,0.765768,11,0.126377,1
00019.jpg,38,38,1,34,5.06E-12,1
00020.jpg,4,4,0.985661,7,0.00762131,1
00021.jpg,33,33,0.999982,39,0.0000103,1
00022.jpg,9,9,0.999967,10,0.000033,1
00023.jpg,3,2,0.506188,5,0.42881,0
00024.jpg,1,1,0.999787,2,0.000171815,1
00025.jpg,11,11,0.999635,30,0.000218413,1
00026.jpg,13,13,0.999983,35,0.0000164,1
00027.jpg,10,10,0.999996,5,0.00000215,1
00028.jpg,9,10,0.940327,9,0.0575145,0
00029.jpg,11,11,0.999987,30,0.00000848,1
00030.jpg,5,5,0.948489,2,0.0441458,1
00031.jpg,17,17,1,14,2.71E-12,1
00032.jpg,34,34,1,32,5.79E-09,1
00033.jpg,23,23,0.594247,21,0.194146,1
00034.jpg,2,2,0.999997,1,0.00000305,1
00035.jpg,17,17,0.998231,4,0.000828195,1
00036.jpg,3,3,0.99392,2,0.00395554,1
00037.jpg,12,12,0.999976,40,0.0000147,1
00038.jpg,16,16,0.999611,10,0.000280432,1
00039.jpg,8,8,0.821102,4,0.0703821,1
00040.jpg,7,7,0.998748,8,0.000769643,1
00041.jpg,30,23,0.574087,30,0.402863,0
00042.jpg,18,18,0.978035,27,0.0173458,1
00043.jpg,12,12,0.999993,7,0.00000642,1
00044.jpg,24,24,0.294858,28,0.273751,1
00045.jpg,25,25,0.999949,22,0.0000478,1
00046.jpg,3,5,0.766187,3,0.232742,0
00047.jpg,10,10,1,5,1.04E-08,1
00048.jpg,18,31,0.339319,7,0.174999,0
00049.jpg,8,7,0.576601,5,0.40196,0
00050.jpg,25,4,0.305842,25,0.149848,0
00051.jpg,13,13,0.999986,9,0.0000122,1
00052.jpg,15,15,0.870912,5,0.0833722,1
00053.jpg,9,9,0.999984,10,0.0000159,1
00054.jpg,13,13,0.999999,9,0.0000011,1
00055.jpg,35,35,0.999915,3,0.0000523,1
00056.jpg,5,5,0.999664,7,0.000137959,1
00057.jpg,26,26,0.999179,18,0.00079735,1
00058.jpg,9,9,1,10,0.000000226,1
00059.jpg,16,16,0.999999,10,0.000000376,1
00060.jpg,38,38,0.99922,34,0.000770009,1
00061.jpg,10,10,0.999996,9,0.00000231,1
00062.jpg,4,4,0.999985,1,0.0000153,1
00063.jpg,9,9,0.999866,10,0.000133117,1
00064.jpg,15,15,0.999996,4,0.00000274,1
00065.jpg,9,9,0.999991,10,0.00000915,1
00066.jpg,26,26,0.992925,28,0.00399886,1
00067.jpg,2,2,0.998338,1,0.000710964,1
00068.jpg,5,5,0.670684,2,0.145958,1
00069.jpg,28,30,0.703221,28,0.149568,0
00070.jpg,11,11,0.999025,30,0.000741847,1
00071.jpg,25,25,1,22,2.45E-09,1
00072.jpg,30,30,0.574847,2,0.131603,1
00073.jpg,34,34,0.617156,30,0.220198,1
00074.jpg,5,5,0.99307,2,0.00566691,1
00075.jpg,12,12,0.999972,40,0.0000145,1
00076.jpg,1,1,0.982422,5,0.00997243,1
00077.jpg,10,10,0.999402,7,0.000346264,1
00078.jpg,25,25,0.999951,22,0.0000221,1
00079.jpg,25,25,0.800899,30,0.189081,1
00080.jpg,21,31,0.492852,23,0.237428,0
00081.jpg,33,33,0.99983,39,0.000143765,1
00082.jpg,25,25,1,22,1.29E-08,1
00083.jpg,7,8,0.813825,7,0.140333,0
00084.jpg,10,10,1,9,2.74E-10,1
00085.jpg,35,35,0.947756,34,0.0501438,1
00086.jpg,3,3,0.999573,5,0.000407385,1
00087.jpg,7,7,0.354578,5,0.327438,1
00088.jpg,22,22,1,24,1.57E-09,1
00089.jpg,13,13,1,35,1.27E-09,1
00090.jpg,3,5,0.845971,3,0.149813,0
00091.jpg,1,1,0.999971,5,0.0000249,1
00092.jpg,2,2,0.998035,1,0.00191426,1
00093.jpg,14,14,0.999306,15,0.000570703,1
00094.jpg,12,12,1,7,6.52E-13,1
00095.jpg,32,32,0.787241,12,0.0976766,1
00096.jpg,3,3,0.984213,5,0.0147252,1
00097.jpg,38,38,1,34,1.87E-10,1
00098.jpg,9,9,0.999995,10,0.00000504,1
00099.jpg,33,33,0.999997,39,0.00000197,1
00100.jpg,1,1,0.999819,4,0.000148113,1
00101.jpg,10,10,1,9,1.35E-08,1
00102.jpg,5,2,0.690107,3,0.0992144,0
00103.jpg,11,11,0.997076,27,0.00143227,1
00104.jpg,33,33,0.999968,35,0.0000319,1
00105.jpg,4,4,0.999999,1,0.000000895,1
00106.jpg,35,35,0.999963,36,0.0000189,1
00107.jpg,25,25,0.999938,29,0.0000351,1
00108.jpg,33,33,1,40,9.78E-10,1
00109.jpg,4,4,0.721916,1,0.11229,1
00110.jpg,1,1,0.96156,2,0.0371015,1
00111.jpg,14,14,1,15,2.02E-08,1
00112.jpg,16,16,0.99991,9,0.0000803,1
00113.jpg,10,10,0.961335,5,0.0300029,1
00114.jpg,30,21,0.793126,23,0.0663066,0
00115.jpg,3,3,0.998314,5,0.00155047,1
00116.jpg,27,27,0.690011,28,0.138442,1
00117.jpg,29,3,0.8189,23,0.106865,0
00118.jpg,1,1,0.999882,4,0.000048,1
00119.jpg,17,17,0.996664,2,0.00186065,1
00120.jpg,13,13,1,35,2.86E-09,1
00121.jpg,7,7,0.999681,8,0.000319338,1
00122.jpg,1,1,0.869341,4,0.0518962,1
00123.jpg,8,8,0.533308,7,0.304029,1
00124.jpg,2,2,0.998619,1,0.00137902,1
00125.jpg,10,10,0.996754,16,0.0013041,1
00126.jpg,10,10,0.999759,5,0.0000702,1
00127.jpg,30,23,0.297293,26,0.209543,0
00128.jpg,1,1,1,5,2.12E-08,1
00129.jpg,6,42,0.637173,6,0.134256,0
00130.jpg,36,36,1,38,0.000000239,1
00131.jpg,3,7,0.701036,42,0.0858374,0
00132.jpg,14,14,0.999377,17,0.000489368,1
00133.jpg,13,13,1,35,1.29E-09,1
00134.jpg,11,11,0.584169,30,0.377562,1
00135.jpg,10,10,0.999973,9,0.0000261,1
00136.jpg,18,18,0.99955,26,0.000448874,1
00137.jpg,40,7,0.59612,40,0.126494,0
00138.jpg,2,2,0.999896,5,0.000076,1
00139.jpg,38,38,0.999954,34,0.0000175,1
00140.jpg,41,41,0.999916,42,0.000065,1
00141.jpg,4,4,0.76001,7,0.2074,1
00142.jpg,6,6,0.998111,42,0.000890978,1
00143.jpg,18,18,0.981007,26,0.0171141,1
00144.jpg,17,17,1,14,1.15E-08,1
00145.jpg,25,19,0.713724,21,0.0452998,0
00146.jpg,2,2,0.999834,5,0.0000936,1
00147.jpg,41,41,0.578101,42,0.190365,1
00148.jpg,11,11,0.999734,30,0.000258995,1
00149.jpg,21,21,0.717544,31,0.170606,1
00150.jpg,7,7,0.830382,8,0.166806,1
00151.jpg,24,24,0.755695,11,0.184711,1
00152.jpg,11,11,0.999987,30,0.0000128,1
00153.jpg,25,25,0.999949,19,0.0000292,1
00154.jpg,17,17,1,14,6.98E-10,1
00155.jpg,3,3,0.869221,5,0.111255,1
00156.jpg,6,6,0.840947,32,0.145924,1
00157.jpg,9,9,0.997866,10,0.00213296,1
00158.jpg,7,7,0.999471,4,0.000287764,1
00159.jpg,4,4,0.969858,7,0.0198856,1
00160.jpg,13,13,1,35,9.31E-09,1
00161.jpg,16,16,0.999984,10,0.0000143,1
00162.jpg,4,4,0.991191,1,0.00880845,1
00163.jpg,25,25,0.748891,19,0.0430745,1
00164.jpg,18,18,0.99363,26,0.00551413,1
00165.jpg,9,9,0.999958,10,0.0000382,1
00166.jpg,13,13,0.999999,1,0.00000014,1
00167.jpg,14,14,0.996438,2,0.00206136,1
00168.jpg,29,29,0.998555,23,0.000529052,1
00169.jpg,17,17,0.999405,14,0.000292993,1
00170.jpg,13,13,1,35,2.01E-11,1
00171.jpg,38,38,0.928602,34,0.069367,1
00172.jpg,26,26,0.6364,18,0.362905,1
00173.jpg,25,25,0.935515,29,0.0334231,1
00174.jpg,33,33,0.999832,40,0.000160521,1
00175.jpg,1,1,0.954422,2,0.0414385,1
00176.jpg,3,5,0.488039,3,0.416736,0
00177.jpg,40,7,0.549289,40,0.391208,0
00178.jpg,13,13,1,17,1.74E-08,1
00179.jpg,2,2,0.999112,5,0.000845307,1
00180.jpg,8,8,0.996801,4,0.00238689,1
00181.jpg,4,4,0.99989,1,0.000108565,1
00182.jpg,36,36,1,38,7.06E-08,1
00183.jpg,25,25,1,21,0.000000129,1
00184.jpg,20,23,0.751208,11,0.0999805,0
00185.jpg,25,25,0.999997,21,0.00000147,1
00186.jpg,18,18,0.469508,20,0.351452,1
00187.jpg,1,1,0.538407,4,0.235122,1
00188.jpg,10,10,0.999873,5,0.0000854,1
00189.jpg,8,8,0.999995,7,0.00000489,1
00190.jpg,10,23,0.492241,10,0.197937,0
00191.jpg,29,29,0.996078,24,0.00236925,1
00192.jpg,12,12,1,7,4.11E-11,1
00193.jpg,38,38,0.99999,34,0.00000933,1
00194.jpg,31,31,0.99979,21,0.000203504,1
00195.jpg,2,2,0.999999,1,0.000000836,1
00196.jpg,8,8,0.437504,4,0.279075,1
00197.jpg,38,4,0.692207,8,0.0996352,0
00198.jpg,18,10,0.832009,4,0.0772308,0
00199.jpg,28,28,0.539463,29,0.293743,1
00200.jpg,17,17,1,14,5.08E-08,1
00201.jpg,9,9,0.984443,10,0.015555,1
00202.jpg,4,4,0.999939,1,0.0000406,1
00203.jpg,1,1,0.998321,4,0.00152457,1
00204.jpg,17,17,1,13,4.86E-09,1
00205.jpg,9,9,0.999957,10,0.0000429,1
00206.jpg,2,2,0.653864,3,0.266782,1
00207.jpg,31,31,0.893868,26,0.0281579,1
00208.jpg,13,13,1,35,6.46E-11,1
00209.jpg,15,15,0.993703,3,0.00491956,1
00210.jpg,15,15,0.999704,32,0.00012665,1
00211.jpg,38,38,1,34,9.50E-11,1
00212.jpg,25,25,1,30,3.24E-10,1
00213.jpg,5,5,0.988409,2,0.00807718,1
00214.jpg,25,25,1,22,1.61E-09,1
00215.jpg,13,13,1,35,2.05E-14,1
00216.jpg,10,10,0.99992,9,0.0000628,1
00217.jpg,5,5,0.93265,2,0.0663334,1
00218.jpg,4,4,0.99999,1,0.00000962,1
00219.jpg,10,10,0.997436,9,0.00251898,1
00220.jpg,2,2,0.999998,5,0.00000218,1
00221.jpg,4,4,0.998013,1,0.00194518,1
