Index	ClassId	PredictClass	Prob	2ndClass	2ndProb	3rdClass	3rdProb	Correction
00000.jpg	16	16	0.999961	7	0.0000201	5	0.0000143	1
00001.jpg	1	1	0.997889	5	0.00210112	4	0.00000456	1
00002.jpg	38	38	1	34	2.11E-14	36	1.78E-14	1
00003.jpg	33	33	0.999993	40	0.00000526	39	0.00000102	1
00004.jpg	11	11	1	30	0.000000309	19	1.48E-09	1
00005.jpg	38	38	1	34	1.2E-14	36	1.97E-16	1
00006.jpg	18	18	0.999554	11	0.000256644	30	0.000102768	1
00007.jpg	12	12	0.999998	8	0.00000136	41	0.000000244	1
00008.jpg	25	25	1	22	1.43E-11	33	5.54E-12	1
00009.jpg	35	35	1	36	1.07E-10	34	5.19E-12	1
00010.jpg	12	12	0.99909	11	0.000484591	41	0.0000972	1
00011.jpg	7	7	0.771892	8	0.225562	4	0.00220511	1
00012.jpg	23	23	0.991995	19	0.00635427	31	0.00131479	1
00013.jpg	7	7	0.714048	8	0.219128	2	0.0260965	1
00014.jpg	4	4	0.957398	1	0.0421862	5	0.000290222	1
00015.jpg	9	9	0.955455	10	0.044366	2	0.0000606	1
00016.jpg	21	21	0.802993	31	0.115	23	0.0697874	1
00017.jpg	20	20	0.998523	28	0.000586332	23	0.000233001	1
00018.jpg	27	27	0.765768	11	0.126377	30	0.044503	1
00019.jpg	38	38	1	34	5.06E-12	20	1.57E-14	1
00020.jpg	4	4	0.985661	7	0.00762131	1	0.0049842	1
00021.jpg	33	33	0.999982	39	0.0000103	40	0.0000056	1
00022.jpg	9	9	0.999967	10	0.000033	16	5.55E-08	1
00023.jpg	3	2	0.506188	5	0.42881	3	0.0565574	0
00024.jpg	1	1	0.999787	2	0.000171815	4	0.0000401	1
00025.jpg	11	11	0.999635	30	0.000218413	25	0.00011559	1
00026.jpg	13	13	0.999983	35	0.0000164	15	0.000000484	1
00027.jpg	10	10	0.999996	5	0.00000215	9	0.00000168	1
00028.jpg	9	10	0.940327	9	0.0575145	5	0.00113224	0
00029.jpg	11	11	0.999987	30	0.00000848	28	0.00000417	1
00030.jpg	5	5	0.948489	2	0.0441458	3	0.00567929	1
00031.jpg	17	17	1	14	2.71E-12	4	4.37E-16	1
00032.jpg	34	34	1	32	5.79E-09	38	3.21E-09	1
00033.jpg	23	23	0.594247	21	0.194146	19	0.124337	1
00034.jpg	2	2	0.999997	1	0.00000305	5	0.000000432	1
00035.jpg	17	17	0.998231	4	0.000828195	14	0.000803426	1
00036.jpg	3	3	0.99392	2	0.00395554	5	0.0021009	1
00037.jpg	12	12	0.999976	40	0.0000147	29	0.00000307	1
00038.jpg	16	16	0.999611	10	0.000280432	7	0.0000733	1
00039.jpg	8	8	0.821102	4	0.0703821	7	0.0529103	1
00040.jpg	7	7	0.998748	8	0.000769643	1	0.000220207	1
00041.jpg	30	23	0.574087	30	0.402863	31	0.0191732	0
00042.jpg	18	18	0.978035	27	0.0173458	26	0.00365442	1
00043.jpg	12	12	0.999993	7	0.00000642	1	0.000000119	1
00044.jpg	24	24	0.294858	28	0.273751	13	0.135424	1
00045.jpg	25	25	0.999949	22	0.0000478	30	0.00000136	1
00046.jpg	3	5	0.766187	3	0.232742	2	0.00106862	0
00047.jpg	10	10	1	5	1.04E-08	9	1.6E-09	1
00048.jpg	18	31	0.339319	7	0.174999	40	0.156049	0
00049.jpg	8	7	0.576601	5	0.40196	1	0.00879534	0
00050.jpg	25	4	0.305842	25	0.149848	38	0.10344	0
00051.jpg	13	13	0.999986	9	0.0000122	28	0.000000856	1
00052.jpg	15	15	0.870912	5	0.0833722	8	0.0241659	1
00053.jpg	9	9	0.999984	10	0.0000159	23	4.12E-10	1
00054.jpg	13	13	0.999999	9	0.0000011	35	7.15E-08	1
00055.jpg	35	35	0.999915	3	0.0000523	33	0.0000187	1
00056.jpg	5	5	0.999664	7	0.000137959	2	0.000123545	1
00057.jpg	26	26	0.999179	18	0.00079735	24	0.0000153	1
00058.jpg	9	9	1	10	0.000000226	16	0.000000193	1
00059.jpg	16	16	0.999999	10	0.000000376	5	0.000000212	1
00060.jpg	38	38	0.99922	34	0.000770009	9	0.00000264	1
00061.jpg	10	10	0.999996	9	0.00000231	4	0.0000012	1
00062.jpg	4	4	0.999985	1	0.0000153	5	0.000000155	1
