Index,ClassId,PredictClass,Correction,Prob,,,,,,
00000.jpg,16,16,1,0.999961,,,,,,
00001.jpg,1,1,1,0.997889,,,,,,
00002.jpg,38,38,1,1,,,,,,
00003.jpg,33,33,1,0.999993,,,,,,
00004.jpg,11,11,1,1,,,,,,
00005.jpg,38,38,1,1,,,,,,
00006.jpg,18,18,1,0.999554,,,,,,
00007.jpg,12,12,1,0.999998,,,,,,
00008.jpg,25,25,1,1,,,,,,
00009.jpg,35,35,1,1,,,,,,
00010.jpg,12,12,1,0.99909,,,,,,
00011.jpg,7,7,1,0.771892,,,,,,
00012.jpg,23,23,1,0.991995,,,,,,
00013.jpg,7,7,1,0.714048,,,,,,
00014.jpg,4,4,1,0.957398,,,,,,
00015.jpg,9,9,1,0.955455,,,,,,
00016.jpg,21,21,1,0.802993,,,,,,
00017.jpg,20,20,1,0.998523,,,,,,
00018.jpg,27,27,1,0.765768,,,,,,
00019.jpg,38,38,1,1,,,,,,
00020.jpg,4,4,1,0.985661,,,,,,
00021.jpg,33,33,1,0.999982,,,,,,
00022.jpg,9,9,1,0.999967,,,,,,
00023.jpg,3,2,0,0.506188,,,,,,
00024.jpg,1,1,1,0.999787,,,,,,
00025.jpg,11,11,1,0.999635,,,,,,
00026.jpg,13,13,1,0.999983,,,,,,
00027.jpg,10,10,1,0.999996,,,,,,
00028.jpg,9,10,0,0.940327,,,,,,
00029.jpg,11,11,1,0.999987,,,,,,
00030.jpg,5,5,1,0.948489,,,,,,
00031.jpg,17,17,1,1,,,,,,
00032.jpg,34,34,1,1,,,,,,
00033.jpg,23,23,1,0.594247,,,,,,
00034.jpg,2,2,1,0.999997,,,,,,
00035.jpg,17,17,1,0.998231,,,,,,
00036.jpg,3,3,1,0.99392,,,,,,
00037.jpg,12,12,1,0.999976,,,,,,
00038.jpg,16,16,1,0.999611,,,,,,
00039.jpg,8,8,1,0.821102,,,,,,
00040.jpg,7,7,1,0.998748,,,,,,
00041.jpg,30,23,0,0.574087,,,,,,
00042.jpg,18,18,1,0.978035,,,,,,
00043.jpg,12,12,1,0.999993,,,,,,
00044.jpg,24,24,1,0.294858,,,,,,
00045.jpg,25,25,1,0.999949,,,,,,
00046.jpg,3,5,0,0.766187,,,,,,
00047.jpg,10,10,1,1,,,,,,
00048.jpg,18,31,0,0.339319,,,,,,
00049.jpg,8,7,0,0.576601,,,,,,
00050.jpg,25,4,0,0.305842,,,,,,
00051.jpg,13,13,1,0.999986,,,,,,
00052.jpg,15,15,1,0.870912,,,,,,
00053.jpg,9,9,1,0.999984,,,,,,
00054.jpg,13,13,1,0.999999,,,,,,
00055.jpg,35,35,1,0.999915,,,,,,
00056.jpg,5,5,1,0.999664,,,,,,
00057.jpg,26,26,1,0.999179,,,,,,
00058.jpg,9,9,1,1,,,,,,
00059.jpg,16,16,1,0.999999,,,,,,
00060.jpg,38,38,1,0.99922,,,,,,
00061.jpg,10,10,1,0.999996,,,,,,
00062.jpg,4,4,1,0.999985,,,,,,
00063.jpg,9,9,1,0.999866,,,,,,
00064.jpg,15,15,1,0.999996,,,,,,
00065.jpg,9,9,1,0.999991,,,,,,
00066.jpg,26,26,1,0.992925,,,,,,
00067.jpg,2,2,1,0.998338,,,,,,
00068.jpg,5,5,1,0.670684,,,,,,
00069.jpg,28,30,0,0.703221,,,,,,
00070.jpg,11,11,1,0.999025,,,,,,
00071.jpg,25,25,1,1,,,,,,
00072.jpg,30,30,1,0.574847,,,,,,
00073.jpg,34,34,1,0.617156,,,,,,
00074.jpg,5,5,1,0.99307,,,,,,
00075.jpg,12,12,1,0.999972,,,,,,
00076.jpg,1,1,1,0.982422,,,,,,
00077.jpg,10,10,1,0.999402,,,,,,
00078.jpg,25,25,1,0.999951,,,,,,
00079.jpg,25,25,1,0.800899,,,,,,
00080.jpg,21,31,0,0.492852,,,,,,
00081.jpg,33,33,1,0.99983,,,,,,
00082.jpg,25,25,1,1,,,,,,
00083.jpg,7,8,0,0.813825,,,,,,
00084.jpg,10,10,1,1,,,,,,
00085.jpg,35,35,1,0.947756,,,,,,
00086.jpg,3,3,1,0.999573,,,,,,
00087.jpg,7,7,1,0.354578,,,,,,
00088.jpg,22,22,1,1,,,,,,
00089.jpg,13,13,1,1,,,,,,
00090.jpg,3,5,0,0.845971,,,,,,
